id,cardId,abilityId
1,1,1
2,3,2
3,11,3
4,12,4
5,22,2
6,23,1
7,41,7
8,50,8
9,56,9
10,67,10
11,71,11
12,75,12
13,78,13
14,93,14
15,95,15
16,101,16
17,117,17
18,121,18
19,125,19
20,127,20
21,134,21
22,138,22
23,141,23
24,145,24
25,149,25
26,202,9
27,207,10
28,208,15
29,217,22
30,220,21
31,222,25
32,226,3
33,227,12
34,228,11
35,230,19
36,243,3
37,244,11
38,245,12
39,248,19
40,253,11
41,256,19
42,259,10
43,261,17
44,263,23
45,267,7
46,272,46
47,274,46
48,276,48
49,282,49
50,288,50
51,317,51
52,332,52
53,333,53
54,339,54
55,340,55
56,350,56
57,354,57
58,369,58
59,372,59
60,374,60
61,378,61
62,385,62
63,392,63
64,396,64
65,399,65
66,401,66
67,403,67
68,412,68
69,417,69
70,423,70
71,429,71
72,432,72
73,444,73
74,445,74
75,481,70
76,485,61
77,492,52
78,497,48
79,499,66
80,500,74
81,508,68
82,512,49
83,514,53
84,515,68
85,521,69
86,526,74
87,527,73
88,529,49
89,531,53
90,543,49
91,544,68
92,546,53
93,552,72
94,553,52
95,554,58
96,559,19
97,562,11
98,575,98
99,583,99
100,584,100
101,589,101
102,597,102
103,608,103
104,611,104
105,642,105
106,644,106
107,652,107
108,654,108
109,663,109
110,664,110
111,677,111
112,689,112
113,690,113
114,710,114
115,712,115
116,723,116
117,725,117
118,733,118
119,761,113
120,763,117
121,769,117
122,772,112
123,773,113
124,782,111
125,785,113
126,787,116
127,790,116
128,792,53
129,797,105
130,798,115
131,807,131
132,812,132
133,818,133
134,821,134
135,825,135
136,826,136
137,832,137
138,840,138
139,841,139
140,845,140
141,846,141
142,857,142
143,865,143
144,883,144
145,889,145
146,900,146
147,901,147
148,904,148
149,914,149
150,916,150
151,923,151
152,925,152
153,926,153
154,931,154
155,934,155
156,942,156
157,943,157
158,946,158
159,950,159
160,958,160
161,959,161
162,965,162
163,970,163
164,971,164
165,973,165
166,980,155
167,983,140
168,985,163
169,986,165
170,987,134
171,989,131
172,996,132
173,1002,131
174,1004,132
175,1007,163
176,1010,165
177,1011,49
178,1017,165
179,1023,163
180,1024,150
181,1027,181
182,1029,182
183,1041,183
184,1045,182
185,1051,185
186,1052,186
187,1058,187
188,1060,188
189,1066,182
190,1069,190
191,1077,191
192,1078,192
193,1080,193
194,1085,194
195,1096,195
196,1100,196
197,1102,197
198,1105,198
199,1113,199
200,1123,200
201,1128,201
202,1132,202
203,1144,203
204,1145,204
205,1147,205
206,1150,206
207,1152,18
208,1158,208
209,1161,209
210,1163,210
211,1164,211
212,1168,212
213,1175,213
214,1179,214
215,1209,183
216,1211,186
217,1216,192
218,1218,194
219,1221,198
220,1225,200
221,1226,201
222,1230,204
223,1231,205
224,1233,18
225,1234,208
226,1238,212
227,1241,181
228,1242,185
229,1248,196
230,1249,199
231,1252,202
232,1255,210
233,1256,211
234,1257,214
235,1273,199
236,1274,202
237,1276,210
238,1277,211
239,1285,199
240,1292,48
241,1305,101
242,1306,242
243,1309,138
244,1311,244
245,1313,9
246,1316,195
247,1317,12
248,1331,16
249,1342,50
250,1353,135
251,1361,251
252,1363,23
253,1370,46
254,1371,46
255,1373,4
256,1376,57
257,1380,113
258,1383,258
259,1384,69
260,1386,22
261,1390,74
262,1394,136
263,1396,102
264,1397,51
265,1400,9
266,1402,8
267,1404,244
268,1408,98
269,1409,157
270,1415,103
271,1418,52
272,1424,15
273,1427,138
274,1429,60
275,1431,10
276,1437,56
277,1440,195
278,1445,54
279,1449,63
280,1453,22
281,1457,58
282,1458,64
283,1461,57
284,1462,16
285,1466,17
286,1473,13
287,1481,21
288,1483,23
289,1490,143
290,1491,158
291,1492,150
292,1494,72
293,1498,101
294,1500,165
295,1502,48
296,1503,242
297,1510,11
298,1511,73
299,1513,165
300,1514,12
301,1515,112
302,1516,69
303,1519,12
304,1521,53
305,1522,68
306,1523,25
307,1526,117
308,1527,140
309,1528,74
310,1530,113
311,1535,19
312,1538,195
313,1540,113
314,1541,193
315,1542,208
316,1546,57
317,1549,199
318,1550,193
319,1562,319
320,1563,319
321,1564,132
322,1568,322
323,1571,323
324,1574,324
325,1575,325
326,1579,326
327,1583,327
328,1588,328
329,1595,329
330,1604,330
331,1632,331
332,1635,332
333,1638,333
334,1639,334
335,1658,335
336,1662,336
337,1667,337
338,1672,338
339,1682,339
340,1687,340
341,1693,341
342,1720,323
343,1727,333
344,1740,326
345,1741,328
346,1743,330
347,1745,332
348,1748,336
349,1749,335
350,1757,326
351,1759,330
352,1761,332
353,1767,326
354,1769,330
355,1770,332
356,1775,49
357,1785,329
358,1786,337
359,1793,331
360,1797,360
361,1802,361
362,1810,362
363,1813,363
364,1816,364
365,1820,365
366,1828,366
367,1833,367
368,1839,362
369,1845,369
370,1848,370
371,1856,371
372,1857,372
373,1867,373
374,1872,374
375,1875,375
376,1883,362
377,1884,377
378,1890,378
379,1891,379
380,1906,380
381,1907,381
382,1918,382
383,1924,383
384,1926,384
385,1927,385
386,1929,386
387,1933,387
388,1936,388
389,1965,362
390,1966,364
391,1968,366
392,1969,370
393,1981,384
394,1985,365
395,1989,372
396,1991,374
397,1994,381
398,1996,386
399,1997,388
400,2005,365
401,2010,381
402,2011,388
403,2016,365
404,2017,388
405,2022,251
406,2024,113
407,2039,363
408,2040,366
409,2041,370
410,2042,384
411,2048,185
412,2049,372
413,2050,330
414,2051,326
415,2054,415
416,2071,416
417,2072,416
418,2077,418
419,2081,419
420,2089,420
421,2090,421
422,2091,422
423,2092,423
424,2094,424
425,2097,425
426,2099,426
427,2121,416
428,2122,416
429,2124,378
430,2125,379
431,2126,380
432,2129,425
433,2135,420
434,2136,421
435,2137,422
436,2143,420
437,2144,421
438,2145,422
439,2147,422
440,2150,131
441,2152,441
442,2155,442
443,2163,443
444,2178,132
445,2187,445
446,2191,446
447,2192,447
448,2194,446
449,2216,449
450,2225,450
451,2238,451
452,2250,452
453,2256,453
454,2259,454
455,2264,455
456,2267,456
457,2268,457
458,2274,458
459,2278,459
460,2279,460
461,2293,441
462,2299,446
463,2303,453
464,2305,443
465,2309,449
466,2311,454
467,2316,443
468,2318,449
469,2328,469
470,2330,446
471,2331,457
472,2332,441
473,2334,473
474,2338,455
475,2342,332
476,2344,469
477,2349,477
478,2354,478
479,2366,479
480,2376,480
481,2382,98
482,2387,482
483,2394,148
484,2397,484
485,2399,485
486,2401,486
487,2402,487
488,2404,488
489,2417,489
490,2419,490
491,2421,491
492,2430,492
493,2438,493
494,2452,494
495,2475,495
496,2488,496
497,2492,497
498,2495,498
499,2539,478
500,2545,148
501,2546,485
502,2558,498
503,2560,477
504,2561,98
505,2562,482
506,2564,487
507,2565,491
508,2569,495
509,2572,497
510,2581,477
511,2582,482
512,2583,487
513,2584,491
514,2586,495
515,2592,487
516,2599,486
517,2600,488
518,2601,493
519,2606,488
520,2607,74
521,2617,322
522,2623,443
523,2625,362
524,2626,365
525,2631,374
526,2635,362
527,2644,362
528,2648,416
529,2650,379
530,2654,331
531,2656,416
532,2657,57
533,2658,378
534,2663,202
535,2667,380
536,2668,418
537,2673,381
538,2679,538
539,2682,453
540,2684,383
541,2686,496
542,2687,542
543,2689,455
544,2691,544
545,2694,339
546,2697,456
547,2701,547
548,2757,365
549,2760,372
550,2768,199
551,2770,332
552,2771,202
553,2772,381
554,2775,422
555,2776,210
556,2779,542
557,2780,388
558,2784,326
559,2786,365
560,2787,330
561,2792,487
562,2799,562
563,2800,563
564,2810,564
565,2813,565
566,2816,566
567,2823,567
568,2829,568
569,2845,569
570,2847,570
571,2848,571
572,2859,572
573,2867,573
574,2871,574
575,2874,575
576,2877,576
577,2881,577
578,2887,578
579,2890,579
580,2899,580
581,2909,581
582,2920,582
583,2928,583
584,2952,563
585,2955,570
586,2956,572
587,2958,576
588,2963,567
589,2964,569
590,2965,571
591,2966,574
592,2967,579
593,2974,567
594,2975,569
595,2976,571
596,2977,579
597,2980,569
598,2981,579
599,1,1
600,3,2
601,11,3
602,12,4
603,22,2
604,23,1
605,41,7
606,50,8
607,56,9
608,67,10
609,71,11
610,75,12
611,78,13
612,93,14
613,95,15
614,101,16
615,117,17
616,121,18
617,125,19
618,127,20
619,134,21
620,138,22
621,141,23
622,145,24
623,149,25
624,202,9
625,207,10
626,208,15
627,217,22
628,220,21
629,222,25
